EventID,EventType,EventDate,BookingLocation,Region,Team,Product,SourceSystem,Severity,IssueType
E0018170,Processing Error,2025-11-25,,,Operations,Execution-only,Monitoring Tool,Medium,Missing BookingLocation
E0018260,Processing Error,2025-11-27,,,Operations,Advisory,Workflow,Low,Missing BookingLocation
E0018309,High-Risk Transaction,2025-11-27,,,Front Office,Lombard Lending,Email Intake,High,Missing BookingLocation
E0018500,Processing Error,2025-12-01,,,Operations,Advisory,Core Banking,High,Missing BookingLocation
E0018569,Processing Error,2025-12-02,,,Operations,Discretionary,Email Intake,Low,Missing BookingLocation
E0019063,Processing Error,2025-12-12,,,Operations,Advisory,Workflow,Medium,Missing BookingLocation
E0019244,Incident,2025-12-15,,,Operations,Discretionary,Core Banking,Medium,Missing BookingLocation
E0019705,Processing Error,2025-12-24,,,Front Office,Discretionary,CRM,Medium,Missing BookingLocation
E0019758,Reconciliation Break,2025-12-24,,,Operations,Execution-only,Workflow,High,Missing BookingLocation
E0019776,Processing Error,2025-12-25,,,Operations,Discretionary,Monitoring Tool,Medium,Missing BookingLocation
E0019810,Processing Error,2025-12-25,,,Front Office,Discretionary,CRM,Medium,Missing BookingLocation
E0019870,High-Risk Transaction,2025-12-26,,,Front Office,Structured Products,Monitoring Tool,Low,Missing BookingLocation
E0001310,Overdue Task,2025-01-24,Geneva,EMEA,Client Onboarding,,Monitoring Tool,Medium,Missing Product
E0002157,High-Risk Transaction,2025-02-09,Zurich,EMEA,Front Office,,CRM,Medium,Missing Product
E0002752,High-Risk Transaction,2025-02-19,London,EMEA,Front Office,,CRM,Medium,Missing Product
E0002836,High-Risk Transaction,2025-02-20,Hong Kong,APAC,Front Office,,CRM,Medium,Missing Product
E0003344,Incident,2025-03-01,Geneva,EMEA,Client Onboarding,,Email Intake,Medium,Missing Product
E0003650,Reconciliation Break,2025-03-06,New York,Americas,Operations,,Workflow,Low,Missing Product
E0003936,Reconciliation Break,2025-03-11,New York,Americas,Front Office,,Workflow,Medium,Missing Product
E0004508,Data Quality Issue,2025-03-20,Hong Kong,APAC,Front Office,,Workflow,Low,Missing Product
E0005117,Reconciliation Break,2025-03-31,London,EMEA,Front Office,,CRM,Low,Missing Product
E0005135,Reconciliation Break,2025-03-31,New York,Americas,Operations,,Email Intake,Low,Missing Product
E0005868,Processing Error,2025-04-13,Geneva,EMEA,Operations,,Monitoring Tool,High,Missing Product
E0006694,Processing Error,2025-04-25,Hong Kong,APAC,Operations,,Workflow,Medium,Missing Product
E0007770,Processing Error,2025-05-15,Zurich,EMEA,Operations,,Core Banking,Low,Missing Product
E0007807,Processing Error,2025-05-15,London,EMEA,Operations,,Workflow,Low,Missing Product
E0008491,Data Quality Issue,2025-05-26,New York,Americas,Client Onboarding,,CRM,Medium,Missing Product
E0008631,Processing Error,2025-05-29,Zurich,EMEA,Operations,,Core Banking,Low,Missing Product
E0008908,Processing Error,2025-06-02,London,EMEA,Operations,,CRM,Low,Missing Product
E0009583,High-Risk Transaction,2025-06-14,New York,Americas,Front Office,,CRM,High,Missing Product
E0009824,High-Risk Transaction,2025-06-19,Zurich,EMEA,Front Office,,Email Intake,High,Missing Product
E0010693,Processing Error,2025-07-04,London,EMEA,Operations,,Monitoring Tool,Medium,Missing Product
E0010932,Reconciliation Break,2025-07-09,Zurich,EMEA,Operations,,CRM,High,Missing Product
E0011410,Reconciliation Break,2025-07-18,Zurich,EMEA,Operations,,Core Banking,Low,Missing Product
E0011689,Reconciliation Break,2025-07-23,Zurich,EMEA,Compliance & Controls,,Workflow,Low,Missing Product
E0011740,Processing Error,2025-07-23,Singapore,APAC,Operations,,Email Intake,Medium,Missing Product
E0011997,KYC Review Overdue,2025-07-28,London,EMEA,Front Office,,CRM,Low,Missing Product
E0012694,Processing Error,2025-08-11,London,EMEA,Operations,,Workflow,Low,Missing Product
E0013237,High-Risk Transaction,2025-08-21,London,EMEA,Compliance & Controls,,Monitoring Tool,Low,Missing Product
E0013380,Processing Error,2025-08-24,New York,Americas,Operations,,CRM,Medium,Missing Product
E0013424,Overdue Task,2025-08-25,New York,Americas,Client Onboarding,,CRM,High,Missing Product
E0013567,Processing Error,2025-08-27,Hong Kong,APAC,Operations,,Workflow,Low,Missing Product
E0014646,High-Risk Transaction,2025-09-18,Singapore,APAC,Front Office,,Workflow,Medium,Missing Product
E0014826,Processing Error,2025-09-22,Singapore,APAC,Client Onboarding,,Core Banking,Critical,Missing Product
E0015445,Processing Error,2025-10-03,Hong Kong,APAC,Operations,,Workflow,Medium,Missing Product
E0015461,KYC Review Overdue,2025-10-04,Geneva,EMEA,Operations,,CRM,Low,Missing Product
E0015488,Processing Error,2025-10-04,Singapore,APAC,Operations,,CRM,Critical,Missing Product
E0016683,High-Risk Transaction,2025-10-28,New York,Americas,Front Office,,Core Banking,Low,Missing Product
E0016726,Processing Error,2025-10-29,Geneva,EMEA,Operations,,Workflow,High,Missing Product
E0016763,Processing Error,2025-10-30,Zurich,EMEA,Operations,,Monitoring Tool,High,Missing Product
E0017726,Reconciliation Break,2025-11-17,Zurich,EMEA,Operations,,Email Intake,Low,Missing Product
E0018177,Processing Error,2025-11-25,London,EMEA,Operations,,CRM,Critical,Missing Product
E0001767,High-Risk Transaction,2026-01-15,London,EMEA,Front Office,Discretionary,Core Banking,Medium,Future EventDate
E0004812,Processing Error,2026-01-15,Zurich,EMEA,Client Onboarding,Structured Products,Workflow,Low,Future EventDate
E0005169,Processing Error,2026-01-15,Zurich,EMEA,Operations,Advisory,Workflow,Low,Future EventDate
E0005221,Processing Error,2026-01-15,Hong Kong,APAC,Front Office,Discretionary,Core Banking,Medium,Future EventDate
E0006364,Processing Error,2026-01-15,Geneva,EMEA,Operations,Advisory,Workflow,Medium,Future EventDate
E0007182,Overdue Task,2026-01-15,New York,Americas,Front Office,Structured Products,CRM,Low,Future EventDate
E0008293,Limit Breach,2026-01-15,Zurich,EMEA,Front Office,Discretionary,CRM,High,Future EventDate
E0009777,Overdue Task,2026-01-15,Geneva,EMEA,Client Onboarding,Discretionary,Workflow,Low,Future EventDate
E0010150,High-Risk Transaction,2026-01-15,Singapore,APAC,Front Office,Discretionary,Email Intake,Medium,Future EventDate
E0010168,Incident,2026-01-15,Zurich,EMEA,Operations,Discretionary,Monitoring Tool,Medium,Future EventDate
E0012307,Processing Error,2026-01-15,New York,Americas,Operations,Discretionary,Monitoring Tool,Medium,Future EventDate
E0012556,High-Risk Transaction,2026-01-15,Geneva,EMEA,Front Office,Lombard Lending,Email Intake,Critical,Future EventDate
E0013335,Reconciliation Break,2026-01-15,London,EMEA,Operations,Advisory,Core Banking,Medium,Future EventDate
E0014406,Limit Breach,2026-01-15,Singapore,APAC,Front Office,Structured Products,Workflow,Low,Future EventDate
E0014707,Incident,2026-01-15,Zurich,EMEA,Front Office,Lombard Lending,Workflow,Medium,Future EventDate
E0014919,Processing Error,2026-01-15,Geneva,EMEA,Operations,Execution-only,Workflow,Low,Future EventDate
E0015318,Processing Error,2026-01-15,Zurich,EMEA,Operations,Advisory,Workflow,Low,Future EventDate
E0016192,Processing Error,2026-01-15,London,EMEA,Operations,Structured Products,Workflow,Medium,Future EventDate
E0017015,Data Quality Issue,2026-01-15,Singapore,APAC,Client Onboarding,Lombard Lending,Email Intake,Low,Future EventDate
E0019610,Data Quality Issue,2026-01-15,New York,Americas,Client Onboarding,Execution-only,CRM,Low,Future EventDate
E0000055,Reconciliation Break,2025-01-02,Zurich,EMEA,Front Office,Advisory,Monitoring Tool,Low,Negative Amount
E0000731,High-Risk Transaction,2025-01-14,London,EMEA,Front Office,Execution-only,Monitoring Tool,Low,Negative Amount
E0001362,High-Risk Transaction,2025-01-25,Zurich,EMEA,Front Office,Execution-only,CRM,Low,Negative Amount
E0004380,Data Quality Issue,2025-03-19,Zurich,EMEA,Front Office,Discretionary,Workflow,Low,Negative Amount
E0005969,High-Risk Transaction,2025-04-14,Hong Kong,APAC,Front Office,Discretionary,Workflow,Low,Negative Amount
E0006236,Incident,2025-04-18,New York,Americas,Compliance & Controls,Execution-only,Core Banking,Low,Negative Amount
E0006842,Processing Error,2025-04-28,London,EMEA,Operations,Advisory,Email Intake,Medium,Negative Amount
E0007393,Reconciliation Break,2025-05-08,Zurich,EMEA,Operations,Execution-only,Workflow,High,Negative Amount
E0008220,Incident,2025-05-22,Zurich,EMEA,Operations,Execution-only,Email Intake,Low,Negative Amount
E0010159,Limit Breach,2025-06-24,Singapore,APAC,Front Office,Structured Products,Workflow,High,Negative Amount
E0010481,Processing Error,2025-06-30,Singapore,APAC,Operations,Execution-only,Core Banking,Medium,Negative Amount
E0013706,Limit Breach,2025-08-30,London,EMEA,Front Office,Structured Products,Workflow,Medium,Negative Amount
E0014485,Incident,2025-09-15,New York,Americas,Operations,Lombard Lending,Email Intake,Medium,Negative Amount
E0015034,Incident,2025-09-26,London,EMEA,Operations,Execution-only,CRM,Low,Negative Amount
E0016457,High-Risk Transaction,2025-10-24,Zurich,EMEA,Front Office,Execution-only,Workflow,Medium,Negative Amount
E0016861,High-Risk Transaction,2025-10-31,New York,Americas,Front Office,Structured Products,Workflow,High,Negative Amount
E0017299,Processing Error,2025-11-08,Hong Kong,APAC,Operations,Discretionary,Workflow,Low,Negative Amount
E0017397,Limit Breach,2025-11-10,Hong Kong,APAC,Front Office,Structured Products,Workflow,Low,Negative Amount
E0017471,Processing Error,2025-11-12,Geneva,EMEA,Operations,Advisory,Core Banking,Medium,Negative Amount
E0018421,Limit Breach,2025-11-30,Zurich,EMEA,Front Office,Execution-only,Email Intake,Medium,Negative Amount
E0000017,Data Quality Issue,2025-01-01,London,EMEA,Operations,Discretionary,CRM,Low,Missing Mandatory Fields
E0000018,High-Risk Transaction,2025-01-01,London,EMEA,Front Office,Execution-only,Email Intake,Low,Missing Mandatory Fields
E0000020,Data Quality Issue,2025-01-01,London,EMEA,Operations,Execution-only,Monitoring Tool,Low,Missing Mandatory Fields
E0000032,Data Quality Issue,2025-01-01,New York,Americas,Front Office,Structured Products,Monitoring Tool,Low,Missing Mandatory Fields
E0000076,Data Quality Issue,2025-01-02,London,EMEA,Client Onboarding,Advisory,Email Intake,Medium,Missing Mandatory Fields
E0000077,Reconciliation Break,2025-01-02,London,EMEA,Operations,Discretionary,Monitoring Tool,Critical,Missing Mandatory Fields
E0000090,Data Quality Issue,2025-01-02,London,EMEA,Operations,Lombard Lending,Core Banking,Medium,Missing Mandatory Fields
E0000102,Data Quality Issue,2025-01-02,New York,Americas,Client Onboarding,Lombard Lending,Monitoring Tool,Low,Missing Mandatory Fields
E0000126,Data Quality Issue,2025-01-03,Zurich,EMEA,Compliance & Controls,Execution-only,CRM,Low,Missing Mandatory Fields
E0000133,Overdue Task,2025-01-03,Geneva,EMEA,Operations,Execution-only,Workflow,Medium,Missing Mandatory Fields
E0000148,Processing Error,2025-01-03,New York,Americas,Operations,Execution-only,Core Banking,Critical,Missing Mandatory Fields
E0000162,High-Risk Transaction,2025-01-03,Singapore,APAC,Front Office,Execution-only,Monitoring Tool,Low,Missing Mandatory Fields
E0000174,Data Quality Issue,2025-01-04,Zurich,EMEA,Client Onboarding,Advisory,Monitoring Tool,Low,Missing Mandatory Fields
E0000175,Processing Error,2025-01-04,Zurich,EMEA,Operations,Execution-only,Workflow,Low,Missing Mandatory Fields
E0000204,Data Quality Issue,2025-01-04,Singapore,APAC,Compliance & Controls,Discretionary,CRM,Medium,Missing Mandatory Fields
E0000206,Processing Error,2025-01-04,Singapore,APAC,Operations,Execution-only,Workflow,Low,Missing Mandatory Fields
E0000222,Processing Error,2025-01-05,Geneva,EMEA,Operations,Advisory,Email Intake,Low,Missing Mandatory Fields
E0000246,KYC Review Overdue,2025-01-05,Hong Kong,APAC,Front Office,Execution-only,CRM,Low,Missing Mandatory Fields
E0000268,High-Risk Transaction,2025-01-06,Geneva,EMEA,Front Office,Discretionary,Core Banking,Low,Missing Mandatory Fields
E0000280,Data Quality Issue,2025-01-06,London,EMEA,Operations,Discretionary,Workflow,Low,Missing Mandatory Fields
E0000299,Processing Error,2025-01-06,Singapore,APAC,Operations,Advisory,Workflow,Medium,Missing Mandatory Fields
E0000304,Processing Error,2025-01-06,Singapore,APAC,Operations,Lombard Lending,Email Intake,Low,Missing Mandatory Fields
E0000352,Data Quality Issue,2025-01-07,London,EMEA,Client Onboarding,Execution-only,Workflow,Low,Missing Mandatory Fields
E0000372,High-Risk Transaction,2025-01-08,Zurich,EMEA,Front Office,Advisory,Email Intake,Medium,Missing Mandatory Fields
E0000373,Data Quality Issue,2025-01-08,Zurich,EMEA,Front Office,Advisory,CRM,Low,Missing Mandatory Fields
E0000398,Data Quality Issue,2025-01-08,London,EMEA,Operations,Advisory,Monitoring Tool,Medium,Missing Mandatory Fields
E0000400,Processing Error,2025-01-08,London,EMEA,Operations,Discretionary,Email Intake,Medium,Missing Mandatory Fields
E0000402,High-Risk Transaction,2025-01-08,London,EMEA,Front Office,Execution-only,Email Intake,Low,Missing Mandatory Fields
E0000420,Data Quality Issue,2025-01-08,Singapore,APAC,Operations,Discretionary,Workflow,High,Missing Mandatory Fields
E0000426,Data Quality Issue,2025-01-08,Hong Kong,APAC,Operations,Execution-only,Workflow,Low,Missing Mandatory Fields
E0000427,Overdue Task,2025-01-08,Hong Kong,APAC,Client Onboarding,Execution-only,Core Banking,Low,Missing Mandatory Fields
E0000432,Data Quality Issue,2025-01-09,Zurich,EMEA,Front Office,Advisory,Workflow,Medium,Missing Mandatory Fields
E0000437,Reconciliation Break,2025-01-09,Zurich,EMEA,Operations,Execution-only,Email Intake,Medium,Missing Mandatory Fields
E0000439,Reconciliation Break,2025-01-09,Zurich,EMEA,Operations,Lombard Lending,Core Banking,Medium,Missing Mandatory Fields
E0000468,Data Quality Issue,2025-01-09,New York,Americas,Operations,Advisory,Workflow,Medium,Missing Mandatory Fields
E0000528,Processing Error,2025-01-10,New York,Americas,Front Office,Execution-only,CRM,High,Missing Mandatory Fields
E0000535,Data Quality Issue,2025-01-10,New York,Americas,Client Onboarding,Lombard Lending,Workflow,Low,Missing Mandatory Fields
E0000583,Reconciliation Break,2025-01-11,New York,Americas,Operations,Advisory,CRM,Medium,Missing Mandatory Fields
E0000623,High-Risk Transaction,2025-01-12,London,EMEA,Operations,Discretionary,Monitoring Tool,Medium,Missing Mandatory Fields
E0000684,High-Risk Transaction,2025-01-13,New York,Americas,Front Office,Execution-only,Email Intake,High,Missing Mandatory Fields
E0000712,Data Quality Issue,2025-01-14,Zurich,EMEA,Front Office,Structured Products,Email Intake,Medium,Missing Mandatory Fields
E0000715,Data Quality Issue,2025-01-14,Zurich,EMEA,Operations,Structured Products,CRM,High,Missing Mandatory Fields
E0000725,Processing Error,2025-01-14,Geneva,EMEA,Operations,Lombard Lending,Core Banking,Medium,Missing Mandatory Fields
E0000733,High-Risk Transaction,2025-01-14,London,EMEA,Front Office,Lombard Lending,Monitoring Tool,Low,Missing Mandatory Fields
E0000755,Reconciliation Break,2025-01-14,Hong Kong,APAC,Operations,Structured Products,Workflow,Medium,Missing Mandatory Fields
E0000767,Processing Error,2025-01-15,Zurich,EMEA,Operations,Execution-only,CRM,Low,Missing Mandatory Fields
E0000769,Data Quality Issue,2025-01-15,Zurich,EMEA,Client Onboarding,Execution-only,Workflow,High,Missing Mandatory Fields
E0000774,Reconciliation Break,2025-01-15,Geneva,EMEA,Compliance & Controls,Advisory,Workflow,Medium,Missing Mandatory Fields
E0000778,Incident,2025-01-15,London,EMEA,Operations,Advisory,Monitoring Tool,Low,Missing Mandatory Fields
E0000780,Data Quality Issue,2025-01-15,London,EMEA,Operations,Advisory,Core Banking,Low,Missing Mandatory Fields
E0000832,Processing Error,2025-01-16,Zurich,EMEA,Operations,Execution-only,CRM,Low,Missing Mandatory Fields
E0000841,Overdue Task,2025-01-16,Geneva,EMEA,Front Office,Execution-only,Workflow,Medium,Missing Mandatory Fields
E0000845,High-Risk Transaction,2025-01-16,London,EMEA,Front Office,Advisory,Workflow,High,Missing Mandatory Fields
E0000866,Overdue Task,2025-01-16,New York,Americas,Operations,Execution-only,Workflow,Low,Missing Mandatory Fields
E0000867,Reconciliation Break,2025-01-16,New York,Americas,Front Office,Lombard Lending,Monitoring Tool,Low,Missing Mandatory Fields
E0000877,Processing Error,2025-01-16,Singapore,APAC,Operations,Execution-only,Email Intake,Low,Missing Mandatory Fields
E0000879,Data Quality Issue,2025-01-16,Singapore,APAC,Front Office,Lombard Lending,Workflow,High,Missing Mandatory Fields
E0000899,Processing Error,2025-01-17,Zurich,EMEA,Operations,Discretionary,Workflow,Medium,Missing Mandatory Fields
E0000901,Data Quality Issue,2025-01-17,Zurich,EMEA,Operations,Discretionary,Email Intake,High,Missing Mandatory Fields
E0000928,Data Quality Issue,2025-01-17,New York,Americas,Client Onboarding,Discretionary,CRM,High,Missing Mandatory Fields
E0000941,Data Quality Issue,2025-01-17,Singapore,APAC,Operations,Lombard Lending,CRM,High,Missing Mandatory Fields
E0000942,Incident,2025-01-17,Hong Kong,APAC,Front Office,Advisory,Workflow,High,Missing Mandatory Fields
E0000947,Processing Error,2025-01-17,Hong Kong,APAC,Front Office,Execution-only,Monitoring Tool,High,Missing Mandatory Fields
E0000951,Data Quality Issue,2025-01-17,Hong Kong,APAC,Front Office,Lombard Lending,Workflow,Low,Missing Mandatory Fields
E0000961,Processing Error,2025-01-18,Geneva,EMEA,Operations,Execution-only,Email Intake,Medium,Missing Mandatory Fields
E0000968,Reconciliation Break,2025-01-18,London,EMEA,Front Office,Execution-only,Monitoring Tool,Low,Missing Mandatory Fields
E0000976,Reconciliation Break,2025-01-18,London,EMEA,Operations,Structured Products,Workflow,Low,Missing Mandatory Fields
E0000984,Data Quality Issue,2025-01-18,New York,Americas,Operations,Lombard Lending,Monitoring Tool,Low,Missing Mandatory Fields
E0000985,Data Quality Issue,2025-01-18,New York,Americas,Client Onboarding,Lombard Lending,Email Intake,Low,Missing Mandatory Fields
E0001017,Data Quality Issue,2025-01-19,Geneva,EMEA,Client Onboarding,Execution-only,CRM,Low,Missing Mandatory Fields
E0001024,Reconciliation Break,2025-01-19,London,EMEA,Operations,Advisory,Monitoring Tool,Low,Missing Mandatory Fields
E0001071,Data Quality Issue,2025-01-20,Zurich,EMEA,Client Onboarding,Structured Products,Core Banking,Low,Missing Mandatory Fields
E0001080,Processing Error,2025-01-20,London,EMEA,Operations,Advisory,Core Banking,Medium,Missing Mandatory Fields
E0001109,Reconciliation Break,2025-01-20,Hong Kong,APAC,Operations,Execution-only,Monitoring Tool,Low,Missing Mandatory Fields
E0001127,Processing Error,2025-01-21,Geneva,EMEA,Operations,Lombard Lending,CRM,Low,Missing Mandatory Fields
E0001139,Data Quality Issue,2025-01-21,London,EMEA,Operations,Execution-only,Email Intake,High,Missing Mandatory Fields
E0001155,Data Quality Issue,2025-01-21,New York,Americas,Operations,Lombard Lending,Email Intake,Medium,Missing Mandatory Fields
E0001159,Processing Error,2025-01-21,Singapore,APAC,Operations,Execution-only,CRM,Low,Missing Mandatory Fields
E0001166,Data Quality Issue,2025-01-21,Hong Kong,APAC,Front Office,Execution-only,Core Banking,High,Missing Mandatory Fields
E0001222,Data Quality Issue,2025-01-22,Singapore,APAC,Operations,Discretionary,Workflow,Low,Missing Mandatory Fields
E0001224,Data Quality Issue,2025-01-22,Singapore,APAC,Front Office,Execution-only,Core Banking,Low,Missing Mandatory Fields
E0001225,High-Risk Transaction,2025-01-22,Singapore,APAC,Front Office,Lombard Lending,Email Intake,Medium,Missing Mandatory Fields
E0001259,Incident,2025-01-23,London,EMEA,Operations,Discretionary,CRM,Low,Missing Mandatory Fields
E0001296,High-Risk Transaction,2025-01-24,Zurich,EMEA,Front Office,Discretionary,Workflow,High,Missing Mandatory Fields
E0001329,Data Quality Issue,2025-01-24,New York,Americas,Operations,Advisory,Workflow,Low,Missing Mandatory Fields
E0001382,Data Quality Issue,2025-01-25,New York,Americas,Operations,Execution-only,Monitoring Tool,Medium,Missing Mandatory Fields
E0001402,Processing Error,2025-01-26,Zurich,EMEA,Operations,Discretionary,Workflow,Medium,Missing Mandatory Fields
E0001416,High-Risk Transaction,2025-01-26,London,EMEA,Front Office,Lombard Lending,Workflow,High,Missing Mandatory Fields
E0001438,Data Quality Issue,2025-01-27,Zurich,EMEA,Front Office,Advisory,Email Intake,High,Missing Mandatory Fields
E0001448,Processing Error,2025-01-27,Zurich,EMEA,Operations,Execution-only,Core Banking,High,Missing Mandatory Fields
E0001461,Processing Error,2025-01-27,London,EMEA,Operations,Advisory,Email Intake,Critical,Missing Mandatory Fields
E0001466,Processing Error,2025-01-27,London,EMEA,Front Office,Execution-only,Workflow,Low,Missing Mandatory Fields
E0001493,Data Quality Issue,2025-01-27,Hong Kong,APAC,Front Office,Execution-only,Email Intake,High,Missing Mandatory Fields
E0001517,High-Risk Transaction,2025-01-28,Geneva,EMEA,Compliance & Controls,Structured Products,CRM,High,Missing Mandatory Fields
E0001527,Processing Error,2025-01-28,New York,Americas,Operations,Advisory,CRM,Low,Missing Mandatory Fields
E0001541,Data Quality Issue,2025-01-28,Singapore,APAC,Operations,Discretionary,Workflow,Medium,Missing Mandatory Fields
E0001553,Incident,2025-01-29,Zurich,EMEA,Operations,Discretionary,Core Banking,Low,Missing Mandatory Fields
E0001609,High-Risk Transaction,2025-01-30,Zurich,EMEA,Front Office,Advisory,Workflow,Low,Missing Mandatory Fields
E0001650,High-Risk Transaction,2025-01-30,New York,Americas,Operations,Execution-only,CRM,Low,Missing Mandatory Fields
E0001658,KYC Review Overdue,2025-01-30,Singapore,APAC,Compliance & Controls,Advisory,Workflow,Medium,Missing Mandatory Fields
E0001662,Data Quality Issue,2025-01-30,Singapore,APAC,Operations,Lombard Lending,Monitoring Tool,Medium,Missing Mandatory Fields
E0001703,Processing Error,2025-01-31,New York,Americas,Operations,Structured Products,Core Banking,Low,Missing Mandatory Fields
E0001721,Data Quality Issue,2025-01-31,Hong Kong,APAC,Operations,Discretionary,Email Intake,Medium,Missing Mandatory Fields
E0001734,Limit Breach,2025-02-01,London,EMEA,Front Office,Execution-only,CRM,Critical,Missing Mandatory Fields
E0001758,Overdue Task,2025-02-02,Geneva,EMEA,Compliance & Controls,Advisory,Workflow,High,Missing Mandatory Fields
E0001767,High-Risk Transaction,2026-01-15,London,EMEA,Front Office,Discretionary,Core Banking,Medium,Missing Mandatory Fields
E0001769,Limit Breach,2025-02-02,London,EMEA,Operations,Discretionary,Monitoring Tool,Medium,Missing Mandatory Fields
E0001801,Processing Error,2025-02-03,Zurich,EMEA,Operations,Execution-only,Monitoring Tool,Low,Missing Mandatory Fields
E0001803,Data Quality Issue,2025-02-03,Geneva,EMEA,Front Office,Advisory,CRM,Low,Missing Mandatory Fields
